A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
AddTreeWithSub,MultXD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,0,0
AddToLeafR,AddTreeWithDiv,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,1,0
AddRandomSubTreeR,FellTreeD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,2,0
AddToLeafR,AddXD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,3,0
ReplaceBranchR,AddTreeWithDiv,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,4,0
AddToLeafR,SkipD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,5,0
AddTreeWithMult,SkipD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,6,0
AddToLeafR,SubXD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,7,0
AddTreeWithSub,SkipD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,8,0
AddTreeWithAdd,SkipD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,9,0
AddToLeafR,MultXD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,10,0
AddTreeWithAdd,DivXD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,11,0
AddToLeafR,AddXD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,12,0
AddTreeWithMult,FellTreeD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,13,0
AddTreeWithMult,AddXD,(((((((3)+((9)+(4)))+((5)+((2)+(8))))+(((8)+((8)-(5)))-(((3)+(3))+((5)+(8)))))+((((9)+((4)+(2)))+((5)*((x)+(3))))+(((x)-((5)-(5)))-(((0)+(7))+((9)+(0))))))-(((((1)-((8)*(3)))+((x)*((x)*(5))))*(((8)*((1)*(1)))*(((7)*(7))*((9)*(4)))))+((((2)+((7)*(2)))*(((4)*(8))*((9)*(6))))*(((3)*((3)*(9)))+(((4)*(0))*((7)-(x)))))))+((((((2)*((1)-(6)))*((7)*((2)-(4))))+(((2)-((9)-(x)))-((x)-((9)-(0)))))-((((3)-((8)+(2)))-((4)*((7)+(1))))-(((9)-((6)+(7)))*(((6)-(9))*((3)*(7))))))-(((((1)*((0)+(9)))-((9)+((7)+(9))))-(((6)*((8)-(4)))+(((3)-(3))*((8)*(3)))))*((((9)*((9)*(6)))*((3)*((4)*(3))))-(((3)*((4)*(4)))-(((3)-(0))-((8)-((7)-(4))))))))),((0)+(x)),0,0,1,0,14,0
