generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
25,-0.9527656164020819,0.15648607761644034,-0.7997037190082644,0.2429296570722903,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,23,24,51106,51106,(((((((9)+(x))*(x))*((x)*(x)))+(x))*(((0)+(2))*(5)))+(x)),(((((x)*(9))*(4))+(x))*(x)),5*x*x*x,8
26,-0.9036950003517414,0.1495966976549976,-0.4955212606175463,0.2864710868977475,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddToLeafR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,25,25,1811716.5,1811716.5,(((((((((9)*(x))*(x))+(9))*(x))*((9)*(x)))+(x))*(x))+(x)),(((((x)-((7)*(2)))/((0)*((4)+(4))))+((6)*(4)))+(x)),5*x*x*x,8
27,-0.9067904814402068,0.13469565718114712,-0.5368426511174171,0.257052220892156,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,25,26,424125.9,424125.9,(((((((7)*(x))*(x))*(((8)+((8)*(2)))*(x)))+(x))*(x))+(x)),(((((9)*(4))+(((x)+(7))*((7)*((1)+(2)))))+((x)*(0)))*(x)),5*x*x*x,8
28,-0.9222444275429575,0.15155226164211816,-0.5897106129850697,0.2577603305785124,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyReplaceBranchXR|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,27,27,685008.5,685008.5,(((((((7)*(x))*(x))*(((0)+(4))*(x)))+(x))*((9)*(9)))+(x)),((((x)+((6)+(9)))*((1)/((x)*(0))))+(x)),5*x*x*x,8
29,-0.9309115001235977,0.14613212082454696,-0.7071589278012479,0.2587220880642758,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategySkipD,28,28,114691.5,114691.5,(((((((2)+(6))*(x))*((x)*((8)*((2)*(3)))))+(x))*(x))+(x)),((((((5)*(x))*((0)+((8)+(3))))+((((9)+(0))+((6)+((3)*(3))))*((6)*((1)+((3)-(5))))))+(x))*(x)),5*x*x*x,8
30,-0.9598500596339317,0.1817360269536271,-0.8739803723627444,0.2856946384884401,StrategyAddXD|StrategyAddToLeafR|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategySkipD|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,29,28,111688.5,111688.5,((((((8)+((5)+(2)))*(((7)*(7))*(4)))*((x)*(x)))+(x))+(x)),((((((8)+(3))*((1)*((3)*(5))))+((7)/(((4)+(1))*((8)-(8)))))+(x))*(x)),5*x*x*x,8
31,-0.9444492723320245,0.1735922796154576,-0.7800605088774191,0.36356888060651843,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,30,29,89801.8,89801.8,((((((6)*(x))*(((6)*(x))*(x)))+((7)+((x)+(6))))*(x))+(x)),((((((5)+(5))*((3)-((0)/(0))))+((5)+(4)))+((8)*(8)))*(x)),5*x*x*x,8
32,-0.9668228779539241,0.1420264621781353,-0.923769173553719,0.23675389159945567,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyMutateNonTerminalR|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyReplaceBranchR,31,30,36333,36333,((((((9)-(3))*((x)*(7)))+(x))*(((5)*(4))*(8)))+(x)),(((((((2)*((4)+(5)))*((x)+((7)+(5))))+(((4)/(2))+((3)/((8)-(9)))))-(x))+(x))*(x)),5*x*x*x,8
33,-0.959725223007404,0.16812310166930905,-0.8589521776133555,0.3017483134514167,StrategyAddXD|StrategyMultXD|StrategySkipD|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,32,32,216331.5,216331.5,((((((5)*(x))*((9)*(((2)*(8))*(x))))+(x))*(x))+(x)),((((((0)*(2))*((2)*(7)))/((4)/((8)*(0))))+(x))*((x)*(6))),5*x*x*x,8
34,-0.9568452959627154,0.13207970965566843,-0.7935687020127696,0.24253019475063314,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,33,33,270770.5,270770.5,((((((5)*(((5)*(3))*(4)))*((x)*((x)*(3))))+(5))*(x))+(x)),(((((6)*(4))*((x)+((1)*(1))))+(x))*(x)),5*x*x*x,8
35,-0.9624122303051413,0.17369989683569498,-0.8835180434374186,0.31019008264462816,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyReplaceBranchR,34,33,112502.5,112502.5,((((((5)*(x))*((x)*((x)*(9))))+(2))*((x)-((4)-(4))))+(x)),(((((8)+(0))/((0)*(0)))+((7)*(0)))*(x)),5*x*x*x,8
36,-0.9618136631690961,0.1433101992833571,-0.8917311507882728,0.2719964278220294,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategyDivXD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyReplaceBranchR,35,35,276287,276287,(((((((((9)*(6))-(3))*(x))*((x)*(x)))+(x))*(9))/((3)/(6)))+(x)),((((((5)*(x))*((1)+(3)))/(((3)*(0))*((2)*(0))))+(x))*(x)),5*x*x*x,8
37,-0.9443051565957751,0.1413047385656169,-0.8856008047358553,0.22977685950413224,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,35,36,97297.2,97297.2,(((((((9)+((5)*(6)))*(x))*((x)*(x)))+((x)-(6)))*(x))+(x)),((((((9)*((2)*((5)+(1))))+((x)+(5)))+((8)+(x)))+(x))*(x)),5*x*x*x,8
38,-0.9502959830679693,0.1476407611822479,-0.8453053247532811,0.26058126721763086,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyMultXD,StrategyReplaceBranchR,37,37,75152,75152,(((((((8)*(7))-(2))*((x)*(((4)*(9))+(x))))+(x))*((6)/(1)))+(x)),(((((((((6)+(x))+(2))-((4)*(1)))*((6)+(5)))+((3)-(5)))+((6)+(1)))+(x))*(x)),5*x*x*x,8
39,-0.9469360905201792,0.14621505531766815,-0.7656731020450772,0.2787851239669422,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyMultXD,StrategyReplaceBranchR,37,38,339037.8,339037.8,((((((5)*(x))*(((7)*(5))*(x)))+((1)+((3)/(x))))*((2)-(x)))*(x)),(((((9)+(9))*((2)+((4)+((5)+(4)))))+(x))*(x)),5*x*x*x,8
40,-0.9140043488919671,0.11908880709002227,-0.37776843347120603,0.34789886624929595,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyMultXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyMultXD,StrategyAddRandomSubTreeR,39,39,5828570,5828570,(((((((x)*(6))*(x))*((x)*((1)*(((2)+(9))*(4)))))+(x))*(x))*(x)),((((((6)/((0)*(5)))+(((3)+(2))*(((8)-(9))+(8))))+((x)*((4)+(9))))+(x))*(x)),5*x*x*x,8
41,-0.9439842004715375,0.13731450036628506,-0.841829889937047,0.22590739403551918,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyAddTreeWithMult|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,40,40,131041.16666666666,131041.16666666666,(((((((6)*(x))*(x))*((x)*(x)))+((((4)/(3))*(2))+(7)))*(x))+(x)),((((((7)-(x))/((0)*(8)))+((6)-(((7)-(0))+(0))))+(x))*(x)),5*x*x*x,8
42,-0.9387300047114087,0.10678433803445404,-0.7729814338587324,0.2986851633215269,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyReplaceBranchR,41,39,189123,189123,(((((((3)*(7))*(x))*((x)*((x)*(3))))+(x))*((7)+(3)))+(x)),((((((9)-(x))*(((3)-(6))/(0)))-((1)+(((5)+(x))*((7)-(2)))))+(x))*(x)),5*x*x*x,8
43,-0.9355485959533926,0.15209558959553696,-0.720640721505767,0.3251393827422736,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyAddRandomSubTreeR,42,41,203730.3,203730.3,((((((((5)+(4))*(9))*(x))*((x)*(x)))+(x))*(x))+((7)*(1))),((((((8)*(7))*((6)/((3)-(3))))+(((3)*(x))+(1)))+(x))*(x)),5*x*x*x,8
44,-0.9407462307060882,0.13581053567613627,-0.7009172726274018,0.32966765546261845,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddToLeafR,StrategyReplaceBranchR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,43,42,980870,980870,((((((5)*(x))*((((7)*(9))*(x))*(9)))+(x))*((1)+(8)))+(x)),(((((1)*((8)+(6)))+(((3)*(4))/(0)))+((4)*(4)))*(x)),5*x*x*x,8
45,-0.9577721810414968,0.1526099819667623,-0.9106617795600915,0.29288743109468124,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyAddRandomSubTreeR,44,44,81059,81059,(((((((9)+(8))*(x))*((x)*(7)))+(x))*(((9)/(3))*(6)))+(x)),(((((((6)+(4))+(0))+((5)+(2)))*(((4)-(4))+((x)*((7)-(5)))))+(x))*(x)),5*x*x*x,8
46,-0.9581405251164217,0.17696781174896972,-0.862162981735381,0.2886395403725815,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyAddRandomSubTreeR,45,45,307675.5,307675.5,(((((((x)*((8)+(6)))*(x))*((x)*(x)))+(6))*(x))+((0)/(5))),((((((x)+(7))/((x)*(((9)*(6))*(0))))+((5)+(((6)+(7))*(((6)-(0))+(x)))))+(x))*((0)*(4))),5*x*x*x,8
47,-0.9672182844677669,0.169006681280809,-0.9222675585341367,0.2748300206291365,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyReplaceBranchR,46,46,68601.5,68601.5,((((((5)*((5)+((6)/(4))))*((7)*((8)*(7))))+(x))*(x))+(x)),(((x)*(x))*((9)*(4))),5*x*x*x,8
48,-0.9577197229350614,0.1602480989057308,-0.8960909077370429,0.2873293168898327,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyReplaceBranchR,47,47,100177,100177,((((((x)*(x))*((x)*((6)*(7))))+(x))*((8)+((0)/(7))))+(x)),(((((2)*((9)-((6)*((0)-(0)))))/(((4)*(3))*(0)))+(x))*(x)),5*x*x*x,8
49,-0.9642577385658571,0.11814430444329531,-0.914972881739545,0.2241457973818699,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyReplaceBranchR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategyMultXD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategyAddXD,StrategyReplaceBranchR,48,48,89795.75,89795.75,(((((((5)*(5))*(x))*((x)*((9)/(6))))+(x))*((7)*(9)))+(x)),(((((((3)+(9))*((4)+(0)))/(((5)+(0))*((x)*(x))))+((x)*((7)*(6))))+((3)*(8)))*(x)),5*x*x*x,8
50,-0.9639304837416374,0.08727710668794729,-0.9429253933818706,0.16476214134762374,StrategyAddXD|StrategyMultXD|StrategyAddTreeWithAdd|StrategySkipD|StrategyReplaceBranchR|StrategyMutateTerminalR|StrategyAddXD|StrategyAddRandomSubTreeR|StrategySkipD|StrategyAddTreeWithDiv,StrategyReplaceBranchR|StrategyAddToLeafR|StrategySkipD|StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyAddXD|StrategySkipD|StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR,StrategySkipD,StrategyReplaceBranchR,49,48,29970.277777777774,29970.277777777774,((((1)+(7))*((x)*((9)+(4))))*(((x)+(4))*((x)+((7)/(9))))),(((((7)+(((7)*(x))+(7)))+((1)*(8)))*((x)+(5)))+(x)),5*x*x*x,8
